Date,Open,High,Low,Close,Adj Close,Volume,bb_bbm,bb_bbh,bb_bbl,rsi
2022-03-22,165.50999450683594,169.4199981689453,164.91000366210938,168.82000732421875,166.68649291992188,81532000,161.44899978637696,170.37452034437717,152.52347922837674,57.08604498445211
2022-03-23,167.99000549316406,172.63999938964844,167.64999389648438,170.2100067138672,168.0589141845703,98062700,161.95599975585938,171.6310938530572,152.28090565866157,58.63055674236037
2022-03-24,171.05999755859375,174.13999938964844,170.2100067138672,174.07000732421875,171.87014770507812,90131400,162.52249984741212,173.547501400643,151.49749829418124,62.65062530081562
2022-03-25,173.8800048828125,175.27999877929688,172.75,174.72000122070312,172.51193237304688,80546200,163.0159996032715,175.23274393588554,150.79925527065745,63.297406117219836
2022-03-28,172.1699981689453,175.72999572753906,172.0,175.60000610351562,173.38079833984375,90371900,163.54000015258788,176.91671949182958,150.16328081334618,64.20126770314747
2022-03-29,176.69000244140625,179.00999450683594,176.33999633789062,178.9600067138672,176.69833374023438,100589400,164.32800064086913,179.29413044242114,149.36187083931713,67.49297599025657
2022-03-30,178.5500030517578,179.61000061035156,176.6999969482422,177.77000427246094,175.52337646484375,92633200,164.8885009765625,180.94681748265532,148.8301844704697,65.20613823886072
2022-03-31,177.83999633789062,178.02999877929688,174.39999389648438,174.61000061035156,172.40333557128906,103049300,165.30750122070313,181.911984759316,148.70301768209026,59.44610975785398
2022-04-01,174.02999877929688,174.8800048828125,171.94000244140625,174.30999755859375,172.1071014404297,78751300,165.86450119018554,182.88692998056513,148.84207239980594,58.91402888915984
2022-04-04,174.57000732421875,178.49000549316406,174.44000244140625,178.44000244140625,176.18490600585938,76468400,166.82150115966797,184.40302001724092,149.23998230209503,63.727332685182105
2022-04-05,177.5,178.3000030517578,174.4199981689453,175.05999755859375,172.84762573242188,73401800,167.70250091552734,185.07999279447148,150.3250090365832,57.76313638303702
2022-04-06,172.36000061035156,173.6300048828125,170.1300048828125,171.8300018310547,169.658447265625,89058800,168.14650115966796,185.46928018340736,150.82372213592856,52.68843181695948
2022-04-07,171.16000366210938,173.36000061035156,169.85000610351562,172.13999938964844,169.9645233154297,77594700,168.82750091552734,185.6465183539532,152.00848347710146,53.114170012643186
2022-04-08,171.77999877929688,171.77999877929688,169.1999969482422,170.08999633789062,167.9404296875,76575500,169.59550094604492,185.12260305299972,154.06839883909012,49.9153465004696
2022-04-11,168.7100067138672,169.02999877929688,165.5,165.75,163.6552734375,72246700,170.35200119018555,183.38063659744392,157.32336578292717,43.88898772920256
2022-04-12,168.02000427246094,169.8699951171875,166.63999938964844,167.66000366210938,165.54115295410156,79265200,170.9805015563965,182.07234096426285,159.88866214853013,46.925905326491836
2022-04-13,167.38999938964844,171.0399932861328,166.77000427246094,170.39999389648438,168.2465057373047,70618900,171.52100143432617,181.3178895616761,161.72411330697622,51.02126428159396
2022-04-14,170.6199951171875,171.27000427246094,165.0399932861328,165.2899932861328,163.2010955810547,75329400,171.75450134277344,180.6853262158824,162.82367646966446,44.1751515377279
2022-04-18,163.9199981689453,166.60000610351562,163.57000732421875,165.07000732421875,162.98387145996094,69023900,171.80900192260742,180.56089635786483,163.05710748735,43.902042385051146
